gesture,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20
open_hand,664.3165283203125,764.0142211914062,754.1864013671875,732.2017822265625,812.541748046875,648.650390625,852.3201293945312,562.007080078125,889.2728271484375,500.78826904296875,750.5416870117188,515.0549926757812,761.728271484375,407.9158935546875,768.3223266601562,348.84295654296875,772.368408203125,296.37847900390625,686.4346313476562,509.18621826171875,687.3944091796875,392.32855224609375,691.7508544921875,326.3098449707031,696.4458618164062,266.5179443359375,622.47509765625,522.8461303710938,616.8795776367188,413.35089111328125,621.7774047851562,352.60394287109375,626.0538940429688,296.09320068359375,561.1708374023438,556.609130859375,536.279296875,474.82354736328125,525.680419921875,425.74493408203125,520.83642578125,376.9234313964844
open_hand,653.5153198242188,771.2634887695312,751.271484375,730.8028564453125,812.3162841796875,646.7147827148438,843.2228393554688,567.0426635742188,879.0228881835938,509.44537353515625,748.7178955078125,520.1834106445312,756.7767333984375,412.9168395996094,764.0859375,353.7423095703125,767.3128051757812,299.40509033203125,678.9614868164062,512.6351318359375,682.8218994140625,397.3424377441406,689.3859252929688,328.9161376953125,695.0426025390625,269.0474853515625,619.3443603515625,527.690185546875,610.0198974609375,421.34814453125,615.0053100585938,357.7437744140625,621.2114868164062,300.1856689453125,551.6944580078125,560.6299438476562,529.3412475585938,479.366455078125,525.4307250976562,428.9612731933594,525.1867065429688,381.29364013671875
open_hand,657.4149169921875,769.0602416992188,747.7684326171875,736.0460815429688,805.1752319335938,650.9666137695312,844.5582275390625,562.9321899414062,881.09033203125,499.9171447753906,741.72607421875,517.26953125,752.341064453125,409.0748596191406,758.90283203125,349.47052001953125,762.948486328125,295.9075012207031,677.135009765625,511.953857421875,679.9207763671875,394.8292236328125,684.9115600585938,327.2088317871094,689.6671142578125,266.76873779296875,614.691162109375,527.4017944335938,609.7105712890625,416.2960510253906,614.2680053710938,353.9913330078125,618.68212890625,297.11737060546875,552.8062744140625,560.991943359375,528.210205078125,477.6192932128906,517.7666625976562,427.9161376953125,513.1600341796875,378.8598937988281
open_hand,654.205810546875,770.442138671875,745.0086669921875,737.8621215820312,803.2178344726562,653.1047973632812,843.049072265625,565.299560546875,880.2050170898438,502.0537109375,740.9716186523438,517.62451171875,752.091064453125,409.0338134765625,758.7967529296875,349.2329406738281,762.8864135742188,295.32769775390625,676.1090698242188,512.2245483398438,679.124755859375,394.5403137207031,684.3170166015625,326.7435607910156,689.2732543945312,265.99395751953125,613.1143798828125,527.5964965820312,608.65869140625,416.17236328125,613.5552978515625,353.8306579589844,618.2698974609375,296.7426452636719,550.8469848632812,561.5288696289062,526.8012084960938,478.0793151855469,516.5321655273438,428.3038635253906,512.1948852539062,379.107177734375
open_hand,653.0567016601562,773.5455322265625,743.849365234375,741.19873046875,802.3185424804688,656.9505615234375,842.449951171875,569.7132568359375,879.9041748046875,506.4156494140625,740.3585815429688,521.013427734375,751.7384643554688,412.2825012207031,758.7940673828125,352.4594421386719,763.275146484375,298.48724365234375,675.4336547851562,515.5228881835938,678.6013793945312,397.7900390625,684.089111328125,329.889892578125,689.2929077148438,269.09503173828125,612.2930297851562,530.9671020507812,608.0452880859375,419.431396484375,613.2232666015625,356.9565124511719,618.1798706054688,299.914794921875,550.0794067382812,564.8685302734375,526.0551147460938,481.3354797363281,516.0001831054688,431.5423583984375,511.8753967285156,382.41937255859375
open_hand,652.6546020507812,776.2654418945312,743.213134765625,744.9541625976562,802.0679321289062,661.7987060546875,842.3692016601562,575.4622192382812,879.6859130859375,512.62451171875,741.4729614257812,525.3737182617188,753.2371215820312,416.90985107421875,760.680419921875,356.98345947265625,765.4065551757812,302.9009704589844,676.4861450195312,519.24609375,679.5113525390625,401.7843322753906,685.3511352539062,333.873779296875,690.6982421875,272.943603515625,612.904052734375,534.1718139648438,608.8784790039062,422.91778564453125,614.384765625,360.2156066894531,619.5477905273438,303.11517333984375,550.6641235351562,567.603515625,526.7501220703125,484.078857421875,516.7523803710938,434.0555419921875,512.71435546875,384.8642883300781
open_hand,653.0641479492188,778.8387451171875,743.9248046875,747.9918823242188,803.5076293945312,664.8702392578125,844.2376708984375,578.3202514648438,881.856689453125,515.5551147460938,743.0780639648438,527.7877807617188,755.5892944335938,419.6349792480469,763.6226806640625,359.7147216796875,768.647705078125,305.84625244140625,677.8057861328125,521.1993408203125,681.5769653320312,404.0469665527344,687.5640258789062,336.3489990234375,693.1416625976562,275.2187194824219,613.75244140625,535.59375,610.3670654296875,424.88580322265625,616.1834106445312,362.0440979003906,621.683349609375,304.6418151855469,551.3684692382812,569.0941772460938,527.5843505859375,485.5176086425781,517.8945922851562,435.1037292480469,514.067138671875,385.5577087402344
open_hand,651.8985595703125,781.7788696289062,743.3025512695312,751.2618408203125,803.7420654296875,668.245361328125,844.6704711914062,581.8223266601562,882.5084838867188,519.6026000976562,744.2670288085938,529.3087768554688,757.363525390625,421.109375,765.742919921875,361.25567626953125,770.8052368164062,307.3971252441406,678.642333984375,522.13232421875,683.0039672851562,404.735595703125,689.3865966796875,337.30438232421875,695.190185546875,276.32635498046875,614.2892456054688,536.026611328125,611.4207763671875,425.1322937011719,617.54052734375,362.59039306640625,623.410400390625,305.3302307128906,551.2084350585938,569.2399291992188,527.9257202148438,485.2793273925781,518.5204467773438,434.9315185546875,515.0022583007812,385.45709228515625
open_hand,652.2501220703125,783.2701416015625,743.8870849609375,752.1300659179688,804.7450561523438,668.7299194335938,846.4175415039062,582.018798828125,884.7096557617188,519.6509399414062,745.021728515625,530.73681640625,757.7667846679688,422.6957702636719,766.1704711914062,363.0128479003906,771.3197631835938,309.2474060058594,679.2777709960938,523.784423828125,683.0435791015625,406.42694091796875,689.487060546875,339.2368469238281,695.2614135742188,278.3898010253906,614.5040893554688,537.7996215820312,611.2835083007812,427.09295654296875,617.5323486328125,364.7862854003906,623.4157104492188,307.6235046386719,551.3908081054688,571.21142578125,527.758544921875,487.527099609375,518.282470703125,437.284912109375,514.7631225585938,387.8467102050781
open_hand,651.3453369140625,784.4639282226562,743.5419921875,753.5154418945312,804.97216796875,670.2832641601562,846.8404541015625,583.7666015625,885.2774047851562,521.3604125976562,745.6453857421875,531.625732421875,758.5352172851562,423.7525634765625,766.9580078125,364.4273376464844,772.08251953125,310.900634765625,679.3306274414062,524.5711059570312,683.20751953125,407.2657470703125,689.6842041015625,340.49114990234375,695.4044189453125,279.86090087890625,614.0200805664062,538.4141235351562,610.879638671875,427.904296875,617.0299072265625,366.0060729980469,622.9208374023438,309.0282287597656,550.3485717773438,571.9788208007812,526.6231689453125,488.3453063964844,517.0112915039062,438.22222900390625,513.4146728515625,388.9111022949219
